date,code_usine,code_produit,qte_produite,qte_rebut
2024-01-15,U01,P005,2149,18
2024-01-15,U02,P005,7588,95
2024-01-15,U02,P011,9356,372
2024-01-15,U02,P006,4340,189
2024-01-15,U02,P010,7165,147
2024-01-15,U02,P004,2707,43
2024-01-15,U03,P001,6597,101
2024-01-15,U03,P006,8097,342
2024-01-15,U03,P009,5223,158
2024-01-15,U03,P002,8439,341
2024-01-15,U03,P004,7044,226
2024-01-15,U03,P012,5049,216
2024-01-15,U03,P005,10622,392
2024-01-15,U04,P006,6499,238
2024-01-15,U04,P008,4632,116
2024-01-15,U04,P007,2689,87
2024-01-15,U04,P004,5768,230
2024-01-15,U04,P009,9586,197
2024-01-15,U05,P004,6246,198
2024-01-15,U05,P011,8154,158
2024-01-15,U05,P001,11082,303
2024-01-15,U05,P008,6700,209
2024-01-15,U05,P010,11593,177
2024-01-15,U05,P012,7491,204
2024-01-15,U05,P005,8259,71
2024-01-15,U06,P006,10048,380
2024-01-15,U06,P008,4985,166
2024-01-15,U06,P011,5267,130
2024-01-15,U06,P004,7245,155
2024-01-15,U07,P006,8807,241
2024-01-15,U07,P005,10517,447
2024-01-15,U07,P004,6883,141
2024-01-15,U07,P003,8218,109
2024-01-15,U07,P001,7294,218
2024-01-15,U07,P010,4391,128
2024-01-15,U07,P009,7192,79
2024-01-15,U08,P007,10328,251
2024-01-15,U08,P011,8342,111
2024-01-15,U08,P005,8426,185
2024-01-15,U08,P003,9009,76
2024-01-22,U01,P004,8018,115
2024-01-22,U01,P008,2170,26
2024-01-22,U01,P001,7218,294
2024-01-22,U01,P005,8230,75
2024-01-22,U01,P010,6882,172
2024-01-22,U02,P005,2773,48
2024-01-22,U02,P007,11842,322
2024-01-22,U02,P001,6389,179
2024-01-22,U02,P010,5411,213
2024-01-22,U02,P002,876,21
2024-01-22,U02,P011,5515,142
2024-01-22,U03,P001,8333,248
2024-01-22,U03,P011,8188,278
2024-01-22,U03,P004,9091,274
2024-01-22,U03,P006,7933,332
2024-01-22,U04,P002,6337,180
2024-01-22,U04,P008,3722,140
2024-01-22,U04,P009,6959,118
2024-01-22,U04,P012,5105,211
2024-01-22,U05,P007,10851,120
2024-01-22,U05,P011,8561,186
2024-01-22,U05,P006,7712,336
2024-01-22,U05,P001,7285,256
2024-01-22,U05,P005,6265,173
2024-01-22,U06,P009,7347,241
2024-01-22,U06,P012,7602,210
2024-01-22,U06,P005,5660,193
2024-01-22,U06,P003,5447,77
2024-01-22,U06,P006,9863,132
2024-01-22,U07,P001,7739,320
2024-01-22,U07,P010,4786,197
2024-01-22,U07,P007,6950,188
2024-01-22,U07,P012,7946,123
2024-01-22,U07,P011,3441,66
2024-01-22,U08,P008,6063,87
2024-01-22,U08,P002,7384,251
2024-01-22,U08,P011,8721,296
2024-01-22,U08,P009,5774,127
2024-01-22,U08,P005,11672,216
2024-01-29,U01,P001,9430,205
2024-01-29,U01,P003,5927,106
2024-01-29,U01,P005,9264,401
2024-01-29,U01,P011,8146,165
2024-01-29,U02,P006,10865,212
2024-01-29,U02,P010,5903,197
2024-01-29,U02,P001,3670,152
2024-01-29,U02,P007,6171,185
2024-01-29,U02,P005,3551,68
2024-01-29,U02,P008,8097,114
2024-01-29,U02,P009,5921,158
2024-01-29,U03,P007,7193,265
2024-01-29,U03,P012,8716,320
2024-01-29,U03,P010,8706,367
2024-01-29,U03,P003,5155,125
2024-01-29,U03,P005,8303,272
2024-01-29,U03,P002,4684,200
2024-01-29,U04,P007,11155,135
2024-01-29,U04,P010,6965,142
2024-01-29,U04,P003,9189,147
2024-01-29,U04,P004,8493,255
2024-01-29,U05,P006,6692,221
2024-01-29,U05,P010,5507,102
2024-01-29,U05,P012,4439,71
2024-01-29,U05,P009,10659,302
2024-01-29,U05,P011,9428,264
2024-01-29,U05,P003,7722,200
2024-01-29,U06,P002,6539,81
2024-01-29,U06,P011,10576,270
2024-01-29,U06,P010,7578,307
2024-01-29,U06,P007,8230,84
2024-01-29,U06,P008,10718,250
2024-01-29,U06,P006,10577,195
2024-01-29,U07,P007,6530,79
2024-01-29,U07,P010,9964,335
2024-01-29,U07,P002,8107,132
2024-01-29,U07,P004,6865,241
2024-01-29,U07,P009,7805,293
2024-01-29,U08,P003,6568,148
2024-01-29,U08,P005,1951,29
2024-01-29,U08,P002,9444,374
2024-01-29,U08,P009,8017,82
2024-01-29,U08,P006,4333,61
2024-01-29,U08,P001,13876,156
2024-02-05,U01,P003,3360,111
2024-02-05,U01,P010,8538,84
2024-02-05,U01,P005,4971,164
2024-02-05,U01,P012,4382,67
2024-02-05,U01,P001,9986,175
2024-02-05,U02,P006,7115,143
2024-02-05,U02,P002,9572,328
2024-02-05,U02,P005,7341,286
2024-02-05,U02,P007,6673,131
2024-02-05,U02,P008,11573,391
2024-02-05,U02,P009,2966,88
2024-02-05,U03,P003,7782,289
2024-02-05,U03,P002,7003,224
2024-02-05,U03,P007,8675,199
2024-02-05,U03,P004,5305,96
2024-02-05,U03,P005,4139,67
2024-02-05,U03,P010,9044,260
2024-02-05,U03,P006,7491,63
2024-02-05,U04,P003,7097,231
2024-02-05,U04,P008,7315,129
2024-02-05,U04,P012,4472,96
2024-02-05,U04,P009,8371,339
2024-02-05,U04,P001,6673,148
2024-02-05,U04,P005,5151,174
2024-02-05,U05,P004,8573,99
2024-02-05,U05,P008,11227,433
2024-02-05,U05,P009,10298,382
2024-02-05,U05,P005,3855,85
2024-02-05,U05,P003,8334,111
2024-02-05,U05,P007,8775,372
2024-02-05,U05,P001,10676,359
2024-02-05,U06,P009,10262,163
2024-02-05,U06,P011,6684,149
2024-02-05,U06,P006,9538,335
2024-02-05,U06,P008,4222,161
2024-02-05,U06,P007,3959,73
2024-02-05,U06,P012,4584,146
2024-02-05,U07,P006,7696,336
2024-02-05,U07,P008,13551,332
2024-02-05,U07,P011,8984,195
2024-02-05,U07,P009,4231,92
2024-02-05,U07,P012,11017,476
2024-02-05,U08,P011,3293,134
2024-02-05,U08,P009,5880,62
2024-02-05,U08,P010,4260,111
2024-02-05,U08,P001,8386,319
2024-02-05,U08,P007,6441,137
2024-02-05,U08,P008,6116,138
2024-02-12,U01,P011,4219,174
2024-02-12,U01,P001,6632,157
2024-02-12,U01,P009,8707,318
2024-02-12,U01,P003,7908,284
2024-02-12,U01,P006,9232,109
2024-02-12,U02,P010,9641,264
2024-02-12,U02,P009,9093,293
2024-02-12,U02,P001,7432,211
2024-02-12,U02,P007,7617,169
2024-02-12,U02,P002,8704,303
2024-02-12,U03,P008,10806,241
2024-02-12,U03,P006,7608,140
2024-02-12,U03,P012,5455,110
2024-02-12,U03,P005,973,36
2024-02-12,U03,P002,7942,141
2024-02-12,U03,P011,11167,357
2024-02-12,U03,P001,10455,456
2024-02-12,U04,P004,6287,137
2024-02-12,U04,P005,6200,78
2024-02-12,U04,P012,6378,248
2024-02-12,U04,P009,9196,207
2024-02-12,U04,P007,10484,133
2024-02-12,U04,P003,5931,265
2024-02-12,U05,P003,7672,340
2024-02-12,U05,P010,8084,209
2024-02-12,U05,P005,10005,362
2024-02-12,U05,P006,5806,226
2024-02-12,U06,P005,8454,317
2024-02-12,U06,P002,8136,281
2024-02-12,U06,P003,7310,298
2024-02-12,U06,P008,11616,357
2024-02-12,U06,P012,4441,124
2024-02-12,U06,P010,5143,59
2024-02-12,U06,P009,7827,253
2024-02-12,U07,P009,10957,165
2024-02-12,U07,P005,10753,389
2024-02-12,U07,P001,6258,147
2024-02-12,U07,P003,8925,106
2024-02-12,U07,P004,6159,243
2024-02-12,U07,P006,11848,477
2024-02-12,U07,P012,6379,90
2024-02-12,U08,P007,6848,182
2024-02-12,U08,P003,5105,192
2024-02-12,U08,P004,7813,69
2024-02-12,U08,P006,8136,149
2024-02-12,U08,P011,3911,102
2024-02-12,U08,P009,8684,146
2024-02-19,U01,P006,5108,222
2024-02-19,U01,P012,10264,422
2024-02-19,U01,P001,6767,61
2024-02-19,U01,P004,5420,106
2024-02-19,U02,P003,9098,314
2024-02-19,U02,P009,6390,71
2024-02-19,U02,P002,8851,326
2024-02-19,U02,P001,6699,188
2024-02-19,U02,P012,8855,184
2024-02-19,U02,P008,6035,180
2024-02-19,U02,P011,11925,384
2024-02-19,U03,P012,7405,194
2024-02-19,U03,P011,7799,165
2024-02-19,U03,P006,7319,65
2024-02-19,U03,P001,8641,233
2024-02-19,U03,P007,8414,98
2024-02-19,U03,P005,7676,317
2024-02-19,U04,P006,10637,237
2024-02-19,U04,P001,6800,254
2024-02-19,U04,P008,5111,44
2024-02-19,U04,P012,10042,297
2024-02-19,U04,P011,7793,219
2024-02-19,U05,P007,8463,330
2024-02-19,U05,P001,7710,113
2024-02-19,U05,P005,9839,324
2024-02-19,U05,P010,4491,83
2024-02-19,U05,P006,4684,162
2024-02-19,U05,P011,8383,110
2024-02-19,U05,P009,5181,47
2024-02-19,U06,P003,8835,335
2024-02-19,U06,P004,7569,267
2024-02-19,U06,P011,8802,107
2024-02-19,U06,P007,5863,162
2024-02-19,U07,P003,8523,145
2024-02-19,U07,P008,6370,198
2024-02-19,U07,P002,9988,390
2024-02-19,U07,P011,6464,262
2024-02-19,U08,P006,7863,308
2024-02-19,U08,P008,12018,505
2024-02-19,U08,P001,8894,310
2024-02-19,U08,P002,6697,192
2024-02-19,U08,P010,8168,303
2024-02-19,U08,P012,1097,32
2024-02-19,U08,P009,5168,114
2024-02-26,U01,P008,7131,210
2024-02-26,U01,P005,8090,309
2024-02-26,U01,P007,4165,41
2024-02-26,U01,P010,5335,111
2024-02-26,U01,P012,7403,263
2024-02-26,U01,P001,8978,190
2024-02-26,U01,P003,8310,71
2024-02-26,U02,P006,7766,334
2024-02-26,U02,P007,9355,229
2024-02-26,U02,P004,7574,240
2024-02-26,U02,P002,8920,328
2024-02-26,U02,P003,9199,266
2024-02-26,U02,P008,2736,25
2024-02-26,U03,P006,4041,126
2024-02-26,U03,P008,4543,105
2024-02-26,U03,P007,8642,195
2024-02-26,U03,P010,6465,157
2024-02-26,U03,P012,10436,430
2024-02-26,U04,P011,8365,127
2024-02-26,U04,P010,7865,266
2024-02-26,U04,P002,8493,79
2024-02-26,U04,P003,5794,215
2024-02-26,U04,P001,5272,78
2024-02-26,U05,P011,11512,331
2024-02-26,U05,P004,8817,154
2024-02-26,U05,P009,13493,261
2024-02-26,U05,P003,8487,161
2024-02-26,U05,P006,9859,184
2024-02-26,U06,P002,5272,158
2024-02-26,U06,P011,5478,156
2024-02-26,U06,P003,7705,258
2024-02-26,U06,P005,3419,58
2024-02-26,U07,P001,4827,184
2024-02-26,U07,P008,10494,364
2024-02-26,U07,P003,10369,423
2024-02-26,U07,P005,5949,186
2024-02-26,U08,P001,9679,377
2024-02-26,U08,P007,12372,279
2024-02-26,U08,P010,10496,192
2024-02-26,U08,P003,7372,139
2024-02-26,U08,P002,7511,144
2024-02-26,U08,P011,8228,258
2024-03-04,U01,P007,8802,274
2024-03-04,U01,P011,9511,89
2024-03-04,U01,P009,10331,313
2024-03-04,U01,P012,4879,86
2024-03-04,U01,P004,7580,110
2024-03-04,U01,P006,11375,451
2024-03-04,U01,P001,12159,147
2024-03-04,U02,P002,9655,428
2024-03-04,U02,P012,9110,246
2024-03-04,U02,P005,10278,423
2024-03-04,U02,P010,9579,403
2024-03-04,U02,P011,9749,235
2024-03-04,U03,P010,6928,269
2024-03-04,U03,P007,9748,365
2024-03-04,U03,P002,5328,201
2024-03-04,U03,P011,5145,116
2024-03-04,U03,P005,9271,349
2024-03-04,U03,P012,9834,102
2024-03-04,U04,P012,11824,101
2024-03-04,U04,P009,13471,358
2024-03-04,U04,P002,4915,148
2024-03-04,U04,P007,7319,101
2024-03-04,U04,P006,10083,431
2024-03-04,U05,P008,4095,141
2024-03-04,U05,P005,8272,230
2024-03-04,U05,P012,5452,95
2024-03-04,U05,P003,9371,288
2024-03-04,U05,P011,5376,155
2024-03-04,U06,P009,8451,113
2024-03-04,U06,P006,8723,97
2024-03-04,U06,P011,10521,270
2024-03-04,U06,P002,9964,296
2024-03-04,U06,P010,11932,384
2024-03-04,U06,P012,7051,264
2024-03-04,U07,P006,8891,262
2024-03-04,U07,P003,6050,144
2024-03-04,U07,P012,7880,188
2024-03-04,U07,P011,11663,205
2024-03-04,U07,P004,7782,76
2024-03-04,U07,P010,7077,94
2024-03-04,U07,P008,12359,527
2024-03-04,U08,P001,9866,382
2024-03-04,U08,P012,7612,229
2024-03-04,U08,P006,6911,283
2024-03-04,U08,P008,11270,193
2024-03-11,U01,P001,15253,479
2024-03-11,U01,P005,14290,166
2024-03-11,U01,P011,5048,167
2024-03-11,U01,P006,8949,109
2024-03-11,U01,P010,12664,405
2024-03-11,U02,P012,11330,324
2024-03-11,U02,P009,9450,247
2024-03-11,U02,P004,10164,334
2024-03-11,U02,P007,6262,153
2024-03-11,U02,P005,7615,112
2024-03-11,U03,P009,9239,187
2024-03-11,U03,P010,12382,459
2024-03-11,U03,P008,8104,232
2024-03-11,U03,P002,10772,359
2024-03-11,U03,P004,13509,416
2024-03-11,U03,P005,7860,221
2024-03-11,U04,P005,4173,178
2024-03-11,U04,P012,13710,128
2024-03-11,U04,P009,9101,185
2024-03-11,U04,P007,10819,235
2024-03-11,U04,P004,7607,186
2024-03-11,U04,P010,9950,138
2024-03-11,U04,P008,2331,39
2024-03-11,U05,P012,5590,160
2024-03-11,U05,P011,7163,146
2024-03-11,U05,P008,8014,187
2024-03-11,U05,P009,9320,331
2024-03-11,U06,P011,7685,143
2024-03-11,U06,P005,9349,351
2024-03-11,U06,P009,8434,95
2024-03-11,U06,P008,14220,620
2024-03-11,U07,P009,9517,146
2024-03-11,U07,P012,6632,174
2024-03-11,U07,P011,9973,233
2024-03-11,U07,P004,18034,600
2024-03-11,U08,P006,14286,439
2024-03-11,U08,P001,8777,255
2024-03-11,U08,P011,6107,198
2024-03-11,U08,P005,8539,71
2024-03-11,U08,P008,8072,290
2024-03-11,U08,P007,7585,306
2024-03-18,U01,P001,5560,123
2024-03-18,U01,P012,13708,180
2024-03-18,U01,P006,9777,272
2024-03-18,U01,P002,8747,310
2024-03-18,U02,P002,8663,327
2024-03-18,U02,P008,8375,148
2024-03-18,U02,P004,4616,193
2024-03-18,U02,P005,8919,332
2024-03-18,U02,P009,12208,108
2024-03-18,U02,P007,7493,303
2024-03-18,U03,P010,15109,617
2024-03-18,U03,P001,8405,341
2024-03-18,U03,P004,5553,159
2024-03-18,U03,P011,11741,227
2024-03-18,U03,P008,13422,230
2024-03-18,U04,P010,10114,119
2024-03-18,U04,P007,10301,443
2024-03-18,U04,P009,14757,366
2024-03-18,U04,P002,9503,223
2024-03-18,U04,P011,10532,211
2024-03-18,U04,P003,9351,111
2024-03-18,U04,P012,10679,240
2024-03-18,U05,P001,10522,272
2024-03-18,U05,P008,10913,367
2024-03-18,U05,P010,7503,306
2024-03-18,U05,P004,5606,181
2024-03-18,U05,P012,11184,125
2024-03-18,U06,P006,13891,510
2024-03-18,U06,P011,12804,332
2024-03-18,U06,P001,9308,245
2024-03-18,U06,P009,13014,384
2024-03-18,U07,P001,8028,163
2024-03-18,U07,P004,8205,291
2024-03-18,U07,P008,10918,488
2024-03-18,U07,P002,11322,244
2024-03-18,U07,P010,11224,173
2024-03-18,U07,P012,9454,295
2024-03-18,U08,P011,9149,285
2024-03-18,U08,P006,11208,376
2024-03-18,U08,P007,11080,210
2024-03-18,U08,P002,13589,460
2024-03-18,U08,P005,12868,391
2024-03-18,U08,P004,2660,63
2024-03-18,U08,P009,5559,208
2024-03-25,U01,P007,7524,290
2024-03-25,U01,P002,8291,311
2024-03-25,U01,P006,11473,421
2024-03-25,U01,P009,11665,325
2024-03-25,U01,P010,5888,245
2024-03-25,U02,P009,13473,419
2024-03-25,U02,P006,11095,426
2024-03-25,U02,P002,10658,290
2024-03-25,U02,P012,12698,373
2024-03-25,U02,P005,14275,551
2024-03-25,U03,P006,7564,66
2024-03-25,U03,P002,9523,185
2024-03-25,U03,P001,5458,233
2024-03-25,U03,P012,10111,453
2024-03-25,U03,P010,5433,58
2024-03-25,U03,P008,8700,255
2024-03-25,U03,P007,4823,92
2024-03-25,U04,P007,11238,282
2024-03-25,U04,P008,10203,207
2024-03-25,U04,P010,13338,506
2024-03-25,U04,P003,11139,267
2024-03-25,U04,P011,8716,118
2024-03-25,U04,P009,5126,160
2024-03-25,U05,P009,6869,81
2024-03-25,U05,P010,7445,159
2024-03-25,U05,P003,8057,177
2024-03-25,U05,P011,11335,326
2024-03-25,U05,P004,8881,296
2024-03-25,U05,P001,11308,251
2024-03-25,U05,P005,7641,125
2024-03-25,U06,P003,7464,206
2024-03-25,U06,P012,8428,68
2024-03-25,U06,P009,9501,381
2024-03-25,U06,P004,8379,238
2024-03-25,U06,P010,4410,130
2024-03-25,U06,P008,10988,474
2024-03-25,U07,P005,8500,334
2024-03-25,U07,P011,8923,206
2024-03-25,U07,P007,7505,150
2024-03-25,U07,P009,8604,160
2024-03-25,U07,P003,10012,436
2024-03-25,U07,P012,9957,308
2024-03-25,U08,P003,10780,164
2024-03-25,U08,P009,10714,121
2024-03-25,U08,P010,4690,174
2024-03-25,U08,P001,7825,344
2024-03-25,U08,P002,9248,149
2024-03-25,U08,P008,13397,555
2024-04-01,U01,P005,8491,226
2024-04-01,U01,P004,5855,260
2024-04-01,U01,P011,8673,294
2024-04-01,U01,P007,8644,290
2024-04-01,U01,P012,9485,421
2024-04-01,U01,P003,10910,235
2024-04-01,U02,P011,8044,264
2024-04-01,U02,P006,6935,139
2024-04-01,U02,P012,7666,341
2024-04-01,U02,P007,12940,227
2024-04-01,U02,P004,4222,101
2024-04-01,U03,P012,11669,449
2024-04-01,U03,P011,9391,83
2024-04-01,U03,P005,10888,408
2024-04-01,U03,P010,13161,126
2024-04-01,U03,P004,14609,606
2024-04-01,U04,P010,8554,268
2024-04-01,U04,P006,9087,406
2024-04-01,U04,P003,4986,132
2024-04-01,U04,P002,9138,269
2024-04-01,U04,P012,7011,291
2024-04-01,U04,P001,10483,329
2024-04-01,U05,P010,12498,276
2024-04-01,U05,P011,11341,477
2024-04-01,U05,P006,7554,243
2024-04-01,U05,P012,2468,93
2024-04-01,U05,P009,14681,275
2024-04-01,U05,P001,13478,515
2024-04-01,U05,P005,8700,350
2024-04-01,U06,P004,12401,146
2024-04-01,U06,P010,5435,120
2024-04-01,U06,P001,8804,340
2024-04-01,U06,P005,9166,179
2024-04-01,U06,P003,11385,92
2024-04-01,U06,P009,9367,359
2024-04-01,U07,P010,6996,172
2024-04-01,U07,P006,9246,222
2024-04-01,U07,P011,13624,376
2024-04-01,U07,P012,11717,208
2024-04-01,U08,P001,7407,325
2024-04-01,U08,P011,14055,307
2024-04-01,U08,P003,5015,107
2024-04-01,U08,P010,13254,536
2024-04-08,U01,P005,11944,486
2024-04-08,U01,P008,11709,374
2024-04-08,U01,P007,2315,21
2024-04-08,U01,P006,9310,136
2024-04-08,U01,P004,6991,172
2024-04-08,U01,P003,12660,245
2024-04-08,U02,P007,14246,127
2024-04-08,U02,P003,5607,104
2024-04-08,U02,P009,7020,255
2024-04-08,U02,P012,14601,254
2024-04-08,U02,P002,11863,521
2024-04-08,U03,P007,6205,269
2024-04-08,U03,P003,8285,118
2024-04-08,U03,P010,10983,99
2024-04-08,U03,P001,8857,261
2024-04-08,U03,P005,13719,269
2024-04-08,U03,P009,5049,80
2024-04-08,U03,P006,19347,288
2024-04-08,U04,P012,6678,208
2024-04-08,U04,P010,8348,178
2024-04-08,U04,P002,2359,56
2024-04-08,U04,P008,10812,156
2024-04-08,U04,P003,11727,390
2024-04-08,U04,P001,9425,305
2024-04-08,U04,P007,8740,238
2024-04-08,U05,P003,8869,370
2024-04-08,U05,P010,10797,294
2024-04-08,U05,P006,14262,609
2024-04-08,U05,P007,7306,314
2024-04-08,U05,P002,15294,141
2024-04-08,U05,P012,6339,257
2024-04-08,U06,P012,12736,256
2024-04-08,U06,P004,13846,272
2024-04-08,U06,P011,7929,238
2024-04-08,U06,P005,6232,87
2024-04-08,U06,P002,8139,152
2024-04-08,U06,P001,12549,161
2024-04-08,U07,P007,9942,166
2024-04-08,U07,P009,7378,126
2024-04-08,U07,P005,9211,313
2024-04-08,U07,P010,10553,358
2024-04-08,U07,P004,8677,223
2024-04-08,U07,P006,8523,83
2024-04-08,U07,P003,8724,363
2024-04-08,U08,P001,3641,105
2024-04-08,U08,P008,15285,443
2024-04-08,U08,P007,6233,136
2024-04-08,U08,P009,14114,377
2024-04-08,U08,P004,7205,309
2024-04-08,U08,P002,9872,245
2024-04-08,U08,P006,4864,107
2024-04-15,U01,P002,9636,339
2024-04-15,U01,P004,5720,216
2024-04-15,U01,P009,16269,679
2024-04-15,U01,P005,6063,169
2024-04-15,U01,P003,8703,86
2024-04-15,U02,P006,11403,256
2024-04-15,U02,P005,12183,275
2024-04-15,U02,P010,7274,287
2024-04-15,U02,P012,16004,484
2024-04-15,U02,P003,4090,124
2024-04-15,U02,P011,7611,277
2024-04-15,U02,P004,2339,71
2024-04-15,U03,P011,10556,194
2024-04-15,U03,P001,9162,167
2024-04-15,U03,P006,7675,89
2024-04-15,U03,P009,16484,496
2024-04-15,U03,P002,11332,424
2024-04-15,U04,P010,9873,104
2024-04-15,U04,P011,14617,587
2024-04-15,U04,P003,10230,179
2024-04-15,U04,P002,15339,287
2024-04-15,U04,P004,13372,164
2024-04-15,U04,P009,9604,382
2024-04-15,U05,P002,8743,119
2024-04-15,U05,P008,15385,334
2024-04-15,U05,P005,5258,61
2024-04-15,U05,P009,10905,325
2024-04-15,U05,P012,5717,221
2024-04-15,U06,P011,12805,484
2024-04-15,U06,P009,11472,93
2024-04-15,U06,P007,9387,323
2024-04-15,U06,P005,11350,373
2024-04-15,U06,P012,9042,170
2024-04-15,U06,P002,15545,257
2024-04-15,U06,P008,14556,374
2024-04-15,U07,P002,13488,133
2024-04-15,U07,P010,11798,524
2024-04-15,U07,P009,6089,163
2024-04-15,U07,P011,6407,59
2024-04-15,U07,P004,10851,246
2024-04-15,U08,P008,8903,288
2024-04-15,U08,P010,5987,250
2024-04-15,U08,P007,12877,290
2024-04-15,U08,P003,8131,229
2024-04-15,U08,P001,5813,197
2024-04-15,U08,P012,9802,157
2024-04-15,U08,P005,7601,192
2024-04-22,U01,P007,6049,251
2024-04-22,U01,P010,18902,613
2024-04-22,U01,P005,13403,115
2024-04-22,U01,P009,14927,406
2024-04-22,U01,P006,9406,235
2024-04-22,U01,P003,7575,267
2024-04-22,U02,P001,12109,355
2024-04-22,U02,P006,6213,208
2024-04-22,U02,P010,11012,438
2024-04-22,U02,P012,4734,120
2024-04-22,U02,P009,18059,727
2024-04-22,U02,P008,12661,115
2024-04-22,U03,P008,8137,350
2024-04-22,U03,P011,9905,114
2024-04-22,U03,P005,7285,72
2024-04-22,U03,P007,11597,243
2024-04-22,U03,P010,10629,198
2024-04-22,U04,P012,14215,426
2024-04-22,U04,P004,7684,320
2024-04-22,U04,P008,8721,120
2024-04-22,U04,P001,8209,240
2024-04-22,U04,P009,5483,159
2024-04-22,U04,P006,8519,191
2024-04-22,U04,P002,15502,493
2024-04-22,U05,P005,9068,96
2024-04-22,U05,P003,6364,64
2024-04-22,U05,P008,11275,452
2024-04-22,U05,P006,13777,608
2024-04-22,U05,P009,9610,92
2024-04-22,U05,P002,13081,179
2024-04-22,U05,P010,4410,166
2024-04-22,U06,P001,9599,128
2024-04-22,U06,P002,9756,280
2024-04-22,U06,P011,9458,151
2024-04-22,U06,P006,6343,142
2024-04-22,U06,P007,7523,326
2024-04-22,U06,P008,3652,74
2024-04-22,U06,P004,7386,257
2024-04-22,U07,P004,11268,226
2024-04-22,U07,P001,9608,157
2024-04-22,U07,P008,12712,439
2024-04-22,U07,P002,12134,499
2024-04-22,U07,P009,15470,239
2024-04-22,U07,P005,10196,211
2024-04-22,U08,P012,7184,191
2024-04-22,U08,P003,11413,314
2024-04-22,U08,P001,2344,49
2024-04-22,U08,P011,13334,290
2024-04-22,U08,P005,13837,432
2024-04-22,U08,P006,8034,145
2024-04-29,U01,P009,10545,102
2024-04-29,U01,P005,14084,618
2024-04-29,U01,P012,3325,93
2024-04-29,U01,P010,16251,239
2024-04-29,U01,P011,14826,270
2024-04-29,U01,P008,6769,185
