date,code_produit,code_usine,canal,quantite,CA,cout
2024-01-02,P012,U05,GMS,145,674.77,521.08
2024-01-02,P011,U03,Industrie,127,299.69,224.67
2024-01-02,P006,U06,GMS,106,565.6,430.66
2024-01-02,P010,U03,RHF,116,364.26,245.63
2024-01-02,P012,U04,Export,72,348.43,242.67
2024-01-02,P007,U07,GMS,85,986.71,768.83
2024-01-02,P005,U06,GMS,129,619.61,457.39
2024-01-02,P002,U07,GMS,76,318.39,229.71
2024-01-02,P006,U01,GMS,163,883.14,671.93
2024-01-02,P003,U03,GMS,141,987.47,769.0
2024-01-02,P008,U01,GMS,239,845.94,577.88
2024-01-02,P005,U01,GMS,153,816.12,575.59
2024-01-02,P006,U02,Industrie,59,312.86,254.29
2024-01-02,P004,U02,Export,153,962.55,747.94
2024-01-02,P009,U04,GMS,148,610.74,449.17
2024-01-02,P004,U05,RHF,154,994.0,733.22
2024-01-02,P007,U05,GMS,68,812.63,625.27
2024-01-02,P002,U04,RHF,125,500.09,407.83
2024-01-02,P010,U01,GMS,161,462.74,347.81
2024-01-02,P007,U08,GMS,144,1737.76,1372.68
2024-01-02,P010,U08,RHF,132,409.42,271.26
2024-01-02,P002,U07,GMS,67,276.76,219.39
2024-01-02,P010,U03,RHF,170,522.37,376.69
2024-01-02,P002,U03,GMS,155,606.87,490.84
2024-01-02,P001,U06,GMS,144,898.3,774.11
2024-01-02,P005,U02,Industrie,168,894.45,591.43
2024-01-02,P004,U05,GMS,114,681.31,535.81
2024-01-02,P003,U06,Export,153,1171.67,855.34
2024-01-02,P008,U02,GMS,188,676.86,453.23
2024-01-02,P012,U02,RHF,102,480.3,351.36
2024-01-02,P004,U01,Industrie,181,1042.21,834.25
2024-01-02,P010,U06,RHF,46,142.87,99.67
2024-01-02,P010,U06,GMS,65,200.63,138.04
2024-01-02,P011,U08,GMS,165,373.83,274.88
2024-01-03,P010,U08,GMS,162,511.78,360.58
2024-01-03,P003,U03,RHF,176,1311.23,958.6
2024-01-03,P007,U03,GMS,150,1830.4,1451.7
2024-01-03,P006,U05,GMS,135,791.56,567.08
2024-01-03,P004,U04,GMS,31,200.12,151.83
2024-01-03,P008,U03,Export,192,699.03,448.64
2024-01-03,P009,U05,GMS,136,569.66,418.89
2024-01-03,P001,U04,GMS,71,478.55,374.18
2024-01-03,P012,U03,Industrie,76,369.96,264.98
2024-01-03,P002,U05,Export,54,224.84,163.76
2024-01-03,P006,U05,Industrie,110,587.94,463.3
2024-01-03,P001,U06,GMS,203,1350.05,1099.59
2024-01-03,P005,U04,RHF,193,1034.46,705.74
2024-01-03,P004,U01,GMS,238,1522.11,1113.04
2024-01-03,P008,U04,GMS,156,547.66,377.04
2024-01-03,P011,U02,GMS,43,103.41,71.14
2024-01-03,P001,U08,GMS,193,1240.22,1044.3
2024-01-03,P008,U03,RHF,149,557.25,372.21
2024-01-03,P011,U03,GMS,141,337.24,243.57
2024-01-03,P009,U07,Export,168,753.34,512.48
2024-01-03,P005,U05,GMS,100,507.98,352.95
2024-01-03,P011,U02,GMS,127,304.77,212.78
2024-01-03,P008,U03,RHF,125,455.35,314.13
2024-01-03,P007,U04,GMS,107,1318.29,987.2
2024-01-03,P004,U05,Industrie,161,1007.45,780.83
2024-01-03,P012,U06,GMS,145,709.59,487.49
2024-01-03,P011,U02,GMS,108,242.9,194.44
2024-01-03,P002,U02,Export,203,846.56,635.81
2024-01-03,P004,U05,GMS,147,905.76,699.36
2024-01-03,P005,U04,GMS,119,639.16,424.53
2024-01-03,P001,U07,GMS,194,1259.36,1005.14
2024-01-03,P008,U07,Export,152,558.85,375.86
2024-01-03,P007,U02,GMS,93,1087.24,855.99
2024-01-03,P009,U06,GMS,154,635.97,469.13
2024-01-03,P009,U07,RHF,92,415.99,280.11
2024-01-03,P009,U04,GMS,137,560.83,422.0
2024-01-03,P012,U01,GMS,175,854.95,626.82
2024-01-03,P008,U05,GMS,72,273.36,171.94
2024-01-03,P007,U07,RHF,72,872.08,670.99
2024-01-03,P004,U05,Industrie,27,155.21,132.02
2024-01-03,P011,U01,GMS,234,554.11,405.67
2024-01-03,P007,U08,Industrie,83,1001.62,791.12
2024-01-03,P003,U01,GMS,63,488.99,366.9
2024-01-03,P006,U01,Industrie,152,791.56,627.59
2024-01-04,P009,U07,RHF,111,486.99,347.66
2024-01-04,P009,U01,GMS,166,753.59,513.33
2024-01-04,P006,U05,Export,103,585.23,440.07
2024-01-04,P007,U04,RHF,120,1499.66,1122.01
2024-01-04,P002,U05,GMS,115,431.09,367.35
2024-01-04,P002,U04,Export,216,868.49,667.53
2024-01-04,P009,U05,GMS,127,522.05,376.0
2024-01-04,P011,U08,GMS,70,158.04,126.13
2024-01-04,P004,U01,GMS,134,810.91,667.45
2024-01-04,P009,U08,RHF,148,649.64,450.54
2024-01-04,P011,U05,GMS,168,419.11,288.68
2024-01-04,P012,U08,GMS,125,542.0,441.01
2024-01-04,P007,U01,GMS,137,1664.19,1259.49
2024-01-04,P002,U08,GMS,20,78.05,63.79
2024-01-04,P010,U08,GMS,180,565.26,396.4
2024-01-04,P004,U08,RHF,159,993.0,754.37
2024-01-04,P007,U03,Industrie,116,1308.25,1121.87
2024-01-04,P003,U03,GMS,178,1371.42,1025.47
2024-01-04,P005,U08,GMS,129,693.6,490.58
2024-01-04,P011,U03,GMS,31,76.89,53.28
2024-01-04,P002,U06,GMS,129,534.54,401.74
2024-01-04,P002,U07,RHF,98,405.38,305.46
2024-01-04,P001,U06,GMS,92,634.71,495.27
2024-01-04,P006,U03,GMS,173,925.09,741.72
2024-01-04,P012,U07,GMS,33,152.39,115.73
2024-01-04,P009,U05,GMS,177,809.45,537.09
2024-01-04,P002,U06,GMS,166,685.64,541.72
2024-01-04,P003,U05,GMS,178,1369.97,1022.53
2024-01-04,P010,U01,RHF,93,284.96,189.52
2024-01-04,P007,U05,RHF,165,1982.79,1589.34
2024-01-04,P010,U03,Industrie,93,276.05,206.75
2024-01-04,P012,U06,Export,181,851.46,630.21
2024-01-04,P006,U05,GMS,175,1022.82,697.9
2024-01-04,P011,U04,GMS,80,183.01,140.96
2024-01-04,P010,U04,Export,204,648.69,421.09
2024-01-04,P001,U07,GMS,143,869.27,735.44
2024-01-05,P003,U07,Industrie,183,1405.66,1076.82
2024-01-05,P008,U02,GMS,90,330.79,210.5
2024-01-05,P010,U03,GMS,159,457.74,324.43
2024-01-05,P003,U01,GMS,189,1429.33,1084.83
2024-01-05,P002,U04,RHF,201,820.27,646.94
2024-01-05,P006,U08,GMS,151,889.57,644.88
2024-01-05,P005,U01,GMS,111,535.41,401.82
2024-01-05,P006,U07,GMS,87,502.31,352.4
2024-01-05,P005,U04,Industrie,86,438.22,320.75
2024-01-05,P005,U02,GMS,135,664.11,503.4
2024-01-05,P002,U02,RHF,88,352.89,285.87
2024-01-05,P012,U03,GMS,208,928.25,687.46
2024-01-05,P009,U02,GMS,223,916.54,672.69
2024-01-05,P005,U06,RHF,181,957.41,667.34
2024-01-05,P008,U06,GMS,183,663.92,441.6
2024-01-05,P011,U03,GMS,161,386.1,289.01
2024-01-05,P001,U06,GMS,138,851.53,727.77
2024-01-05,P001,U04,GMS,121,787.97,637.04
2024-01-05,P004,U01,GMS,175,1048.43,834.5
2024-01-05,P011,U02,GMS,130,295.17,231.81
2024-01-05,P007,U04,Industrie,88,974.2,790.55
2024-01-05,P011,U07,GMS,120,296.51,213.41
2024-01-05,P007,U03,GMS,121,1466.53,1095.87
2024-01-05,P001,U02,RHF,100,679.79,531.81
2024-01-05,P010,U08,Export,134,424.37,296.8
2024-01-05,P004,U01,Export,80,513.12,393.36
2024-01-05,P008,U08,GMS,167,615.92,414.4
2024-01-05,P009,U04,Export,95,425.4,282.82
2024-01-05,P009,U01,GMS,100,410.98,311.99
2024-01-05,P003,U05,GMS,160,1182.92,879.74
2024-01-05,P009,U07,Industrie,195,794.4,576.06
2024-01-05,P008,U04,GMS,136,514.94,320.1
2024-01-05,P009,U08,GMS,164,712.3,494.97
2024-01-05,P009,U07,GMS,3,12.44,9.33
2024-01-05,P008,U08,GMS,163,594.03,381.23
2024-01-05,P010,U03,Export,246,757.65,538.0
2024-01-05,P005,U03,Industrie,93,463.69,324.83
2024-01-05,P001,U08,GMS,106,691.18,551.47
2024-01-05,P004,U07,RHF,151,936.26,708.79
2024-01-05,P002,U08,GMS,121,471.63,379.81
2024-01-05,P001,U05,GMS,151,957.12,837.23
2024-01-05,P006,U04,GMS,156,837.61,677.5
2024-01-05,P005,U03,RHF,181,931.09,653.54
2024-01-05,P001,U02,GMS,157,989.73,845.25
2024-01-05,P010,U08,GMS,138,423.46,291.75
2024-01-05,P011,U04,GMS,157,361.06,274.64
2024-01-05,P012,U06,GMS,208,924.03,740.76
2024-01-05,P001,U02,GMS,128,868.5,675.36
2024-01-05,P004,U05,Industrie,160,972.35,776.91
2024-01-05,P007,U02,RHF,142,1719.49,1304.89
2024-01-05,P007,U03,GMS,117,1458.42,1082.86
2024-01-05,P012,U02,RHF,114,532.46,405.76
2024-01-06,P001,U05,GMS,173,1103.14,916.96
2024-01-06,P005,U01,Industrie,166,805.69,632.28
2024-01-06,P011,U06,Export,146,356.23,250.95
2024-01-06,P009,U02,RHF,160,726.51,490.91
2024-01-06,P002,U06,GMS,119,448.19,363.4
2024-01-06,P001,U06,GMS,162,1005.24,843.53
2024-01-06,P008,U04,GMS,66,245.0,155.84
2024-01-06,P001,U01,RHF,113,741.46,584.69
2024-01-06,P001,U08,Export,143,943.05,780.42
2024-01-06,P002,U02,Export,171,702.99,540.54
2024-01-06,P003,U07,RHF,110,815.12,626.15
2024-01-06,P005,U04,RHF,186,988.41,677.31
2024-01-06,P002,U06,GMS,165,663.62,532.41
2024-01-06,P010,U02,Export,202,636.01,440.06
2024-01-06,P002,U02,GMS,129,532.44,419.54
2024-01-06,P008,U08,GMS,157,591.77,367.29
2024-01-06,P002,U06,GMS,129,539.53,411.38
2024-01-06,P002,U01,GMS,129,485.83,417.53
2024-01-06,P010,U01,Export,205,643.06,446.17
2024-01-06,P010,U06,Export,136,418.87,288.98
2024-01-06,P012,U01,GMS,115,512.68,383.45
2024-01-06,P007,U01,GMS,188,2117.88,1739.75
2024-01-06,P011,U03,GMS,114,269.65,194.84
2024-01-06,P010,U08,Export,74,234.19,159.91
2024-01-06,P006,U04,RHF,94,539.32,402.58
2024-01-06,P006,U08,GMS,123,673.31,511.24
2024-01-06,P003,U03,GMS,137,962.6,782.94
2024-01-06,P008,U07,GMS,160,585.04,391.98
2024-01-06,P010,U03,GMS,140,436.59,308.85
2024-01-06,P010,U05,GMS,134,404.62,285.02
2024-01-06,P009,U08,GMS,231,987.91,684.4
2024-01-06,P003,U08,GMS,91,692.17,513.7
2024-01-06,P012,U08,Export,109,524.47,361.33
2024-01-06,P005,U06,GMS,182,958.58,687.93
2024-01-06,P002,U04,GMS,76,314.78,241.67
2024-01-06,P003,U02,Export,138,1032.28,786.2
2024-01-06,P012,U03,GMS,165,777.07,592.07
2024-01-06,P011,U03,Export,115,273.43,198.41
2024-01-06,P011,U08,Industrie,145,345.21,252.08
2024-01-06,P006,U07,GMS,170,990.57,730.42
2024-01-06,P006,U02,GMS,116,648.96,488.43
2024-01-06,P005,U05,Industrie,132,684.64,480.23
2024-01-06,P010,U06,GMS,155,463.0,325.13
2024-01-06,P005,U05,GMS,222,1174.91,827.24
2024-01-06,P004,U04,GMS,120,709.28,560.15
2024-01-06,P006,U02,Industrie,171,927.91,683.38
2024-01-06,P005,U07,GMS,158,793.92,551.97
2024-01-06,P011,U02,RHF,158,394.48,278.51
2024-01-06,P001,U04,GMS,178,1227.39,981.89
2024-01-06,P006,U02,GMS,179,1021.84,722.49
2024-01-06,P007,U06,GMS,153,1690.94,1487.44
2024-01-06,P012,U02,GMS,95,416.45,324.2
2024-01-06,P004,U01,Export,176,1111.72,875.5
2024-01-06,P004,U02,GMS,10,61.74,46.09
2024-01-06,P003,U03,Export,160,1229.04,939.63
2024-01-06,P003,U02,GMS,71,507.94,391.52
2024-01-07,P012,U07,GMS,67,326.72,230.43
2024-01-07,P004,U01,GMS,135,857.65,635.12
2024-01-07,P008,U02,Industrie,153,524.96,388.39
2024-01-07,P004,U07,RHF,268,1686.76,1270.45
2024-01-07,P001,U08,GMS,116,704.97,649.4
2024-01-07,P005,U04,RHF,184,948.74,645.22
2024-01-07,P011,U06,Export,157,376.12,262.63
2024-01-07,P005,U03,Industrie,121,622.25,439.98
2024-01-07,P012,U05,Industrie,181,866.75,612.78
2024-01-07,P001,U02,GMS,199,1256.47,1101.85
2024-01-07,P003,U07,Export,65,503.78,379.15
2024-01-07,P002,U05,Export,210,850.92,659.77
2024-01-07,P006,U03,GMS,58,326.12,232.59
2024-01-07,P005,U01,Export,97,499.43,357.96
2024-01-07,P006,U08,GMS,53,276.09,215.06
2024-01-07,P003,U05,Industrie,74,560.83,403.8
2024-01-07,P004,U07,GMS,113,684.39,558.78
2024-01-07,P003,U06,RHF,165,1235.48,947.66
2024-01-07,P011,U01,GMS,100,243.22,171.6
2024-01-07,P005,U02,GMS,130,656.47,461.66
2024-01-07,P011,U03,RHF,98,239.67,165.03
2024-01-07,P009,U08,GMS,128,575.52,376.19
2024-01-07,P008,U01,GMS,137,493.32,348.37
2024-01-07,P002,U05,GMS,109,454.13,345.8
2024-01-07,P005,U02,RHF,154,790.79,561.17
2024-01-07,P001,U04,GMS,125,777.4,681.27
2024-01-07,P005,U08,GMS,135,654.1,499.02
2024-01-07,P004,U01,RHF,186,1150.93,877.16
2024-01-07,P002,U04,Export,142,574.44,445.21
2024-01-07,P008,U02,RHF,146,549.29,359.66
2024-01-07,P012,U02,Export,133,648.09,477.54
2024-01-07,P012,U04,GMS,162,743.37,578.04
2024-01-07,P002,U08,RHF,102,420.74,320.33
2024-01-07,P006,U01,GMS,112,650.71,468.16
2024-01-07,P005,U01,GMS,89,435.49,332.36
2024-01-08,P010,U08,GMS,114,354.26,239.99
2024-01-08,P011,U03,GMS,164,398.15,289.3
2024-01-08,P007,U07,GMS,144,1705.21,1321.18
2024-01-08,P004,U08,GMS,150,866.19,715.44
2024-01-08,P012,U01,Export,81,384.72,289.19
2024-01-08,P002,U07,Export,191,798.94,575.18
2024-01-08,P012,U06,GMS,167,762.51,578.98
2024-01-08,P011,U06,GMS,95,214.9,168.98
2024-01-08,P002,U03,Export,128,529.15,399.24
2024-01-08,P002,U02,RHF,129,532.46,407.95
2024-01-08,P012,U02,GMS,67,326.02,240.43
2024-01-08,P002,U07,Export,111,461.73,339.21
2024-01-08,P008,U05,GMS,122,455.81,301.87
2024-01-08,P003,U07,GMS,111,765.59,617.75
2024-01-08,P009,U04,GMS,142,592.39,442.81
2024-01-08,P004,U03,GMS,142,859.74,707.09
2024-01-08,P003,U02,GMS,133,936.57,728.42
2024-01-08,P012,U05,RHF,30,145.61,100.73
2024-01-08,P007,U07,GMS,74,853.71,702.68
2024-01-08,P012,U07,GMS,156,679.7,526.23
2024-01-08,P001,U07,GMS,200,1346.79,1045.88
2024-01-08,P005,U08,GMS,150,721.78,562.81
2024-01-08,P001,U03,GMS,139,943.56,777.18
2024-01-08,P011,U06,GMS,57,135.67,94.3
2024-01-08,P006,U02,RHF,176,1027.45,759.53
2024-01-08,P003,U04,Export,215,1672.76,1261.87
2024-01-08,P001,U04,RHF,147,1007.79,810.48
2024-01-08,P012,U05,RHF,186,871.45,643.45
2024-01-08,P008,U07,Export,27,102.0,64.25
2024-01-08,P006,U04,GMS,196,1101.57,836.4
2024-01-08,P006,U02,GMS,166,899.72,692.22
2024-01-08,P009,U05,Export,58,257.17,183.15
2024-01-08,P004,U04,GMS,136,833.73,676.78
2024-01-08,P007,U03,GMS,141,1702.42,1350.26
2024-01-08,P011,U01,Industrie,147,354.21,259.73
2024-01-08,P008,U06,RHF,158,575.5,368.66
2024-01-08,P001,U07,RHF,198,1362.43,1050.81
2024-01-08,P003,U07,GMS,134,926.66,731.32
2024-01-08,P010,U04,GMS,76,221.43,167.53
2024-01-08,P012,U01,GMS,119,565.91,400.86
2024-01-08,P007,U06,Industrie,117,1350.96,1116.18
2024-01-08,P012,U07,GMS,119,538.29,399.8
2024-01-08,P008,U06,Export,34,125.46,80.19
2024-01-08,P007,U06,Industrie,113,1356.2,1024.24
2024-01-08,P012,U02,GMS,75,364.36,270.07
2024-01-08,P010,U07,GMS,96,285.81,209.6
2024-01-08,P005,U07,RHF,130,676.98,472.8
2024-01-08,P003,U04,GMS,132,931.18,734.37
2024-01-08,P011,U04,GMS,164,393.75,287.65
2024-01-08,P007,U08,GMS,155,1865.97,1411.02
2024-01-08,P008,U08,Industrie,110,389.47,262.97
2024-01-08,P012,U06,RHF,247,1172.57,824.82
2024-01-09,P006,U04,RHF,111,652.47,459.75
2024-01-09,P011,U03,GMS,97,220.88,163.47
2024-01-09,P011,U07,GMS,144,339.59,248.45
2024-01-09,P001,U01,Industrie,77,497.59,417.97
2024-01-09,P012,U01,GMS,145,669.44,519.11
2024-01-09,P002,U02,GMS,193,766.77,590.09
2024-01-09,P004,U06,GMS,153,902.7,745.0
2024-01-09,P001,U06,RHF,134,881.09,699.59
2024-01-09,P009,U07,GMS,126,550.93,392.5
2024-01-09,P008,U02,Industrie,141,487.19,354.13
2024-01-09,P002,U07,GMS,153,623.29,471.29
2024-01-09,P012,U04,Industrie,184,844.61,642.81
2024-01-09,P011,U05,Industrie,198,463.6,351.73
2024-01-09,P007,U05,GMS,214,2358.8,2070.29
2024-01-09,P010,U05,GMS,88,263.11,188.58
2024-01-09,P011,U06,RHF,128,308.01,217.6
2024-01-09,P011,U07,GMS,182,408.56,312.55
2024-01-09,P005,U08,Export,88,474.7,316.32
2024-01-09,P009,U02,GMS,172,785.98,527.54
2024-01-09,P010,U06,Export,159,493.37,337.25
2024-01-09,P002,U08,GMS,189,708.73,568.9
2024-01-09,P009,U02,Industrie,123,555.61,364.66
2024-01-09,P002,U08,RHF,84,335.99,264.17
2024-01-09,P001,U02,GMS,64,439.16,339.78
2024-01-09,P012,U03,GMS,46,207.98,160.3
2024-01-09,P003,U01,Export,166,1288.14,941.45
2024-01-09,P007,U08,GMS,128,1557.07,1190.48
2024-01-09,P009,U02,Export,114,519.12,360.35
2024-01-09,P011,U07,Industrie,86,214.69,151.85
2024-01-09,P004,U06,Industrie,164,1056.0,806.63
2024-01-09,P008,U04,RHF,112,413.43,264.45
2024-01-09,P011,U02,GMS,189,424.36,325.32
2024-01-09,P002,U03,GMS,113,432.85,351.42
2024-01-09,P004,U04,GMS,100,592.74,465.0
2024-01-09,P008,U03,GMS,86,317.32,211.7
2024-01-09,P005,U02,GMS,83,395.1,293.89
2024-01-09,P002,U05,GMS,100,396.04,321.73
2024-01-09,P003,U07,GMS,110,804.45,644.24
2024-01-09,P005,U04,Industrie,127,676.26,479.9
2024-01-09,P005,U08,GMS,129,639.13,452.45
2024-01-09,P010,U07,GMS,178,533.93,371.99
2024-01-09,P001,U02,RHF,78,520.67,405.04
2024-01-09,P006,U05,GMS,164,921.84,701.26
2024-01-09,P003,U05,GMS,104,809.07,591.93
2024-01-09,P011,U01,GMS,77,174.42,138.08
2024-01-09,P005,U08,RHF,145,771.85,543.34
2024-01-09,P002,U04,Industrie,245,1023.77,767.13
2024-01-09,P004,U01,GMS,74,423.99,337.87
2024-01-10,P011,U08,GMS,81,178.73,139.45
2024-01-10,P011,U06,GMS,215,520.36,371.12
2024-01-10,P003,U05,GMS,163,1194.75,965.2
2024-01-10,P003,U07,Export,71,546.06,416.28
2024-01-10,P010,U02,GMS,202,631.93,422.98
2024-01-10,P012,U01,GMS,175,787.52,586.86
2024-01-10,P008,U01,GMS,184,669.93,456.84
2024-01-10,P005,U06,Export,172,918.87,650.78
2024-01-10,P006,U02,GMS,83,482.42,337.39
2024-01-10,P006,U01,GMS,168,879.76,705.74
2024-01-10,P007,U08,RHF,73,896.92,661.3
2024-01-10,P001,U02,GMS,132,843.79,679.5
2024-01-10,P003,U08,GMS,124,954.64,688.58
2024-01-10,P010,U05,GMS,114,356.35,240.38
2024-01-10,P010,U01,GMS,98,310.22,200.09
2024-01-10,P007,U01,Export,189,2252.82,1765.54
2024-01-10,P006,U06,GMS,163,873.44,699.03
2024-01-10,P009,U05,GMS,145,602.46,434.03
2024-01-10,P010,U02,GMS,213,618.61,437.64
2024-01-10,P001,U05,GMS,127,792.26,689.4
2024-01-10,P009,U07,GMS,150,655.71,438.22
2024-01-10,P005,U04,GMS,164,840.42,619.42
2024-01-10,P001,U07,Export,177,1201.28,952.38
2024-01-10,P002,U01,GMS,139,573.17,431.62
2024-01-10,P001,U01,GMS,191,1277.3,1070.28
2024-01-10,P006,U07,Industrie,103,597.34,429.64
2024-01-10,P003,U08,RHF,136,1011.49,746.65
2024-01-10,P007,U01,RHF,108,1309.64,1036.75
2024-01-10,P004,U03,GMS,138,825.64,636.07
2024-01-10,P011,U03,Export,169,415.67,293.88
2024-01-10,P002,U01,GMS,116,481.11,381.17
2024-01-10,P010,U04,Export,170,518.91,349.11
2024-01-10,P002,U01,Industrie,106,428.39,329.25
2024-01-10,P002,U03,GMS,83,311.02,255.45
2024-01-10,P004,U05,GMS,169,1012.33,794.71
2024-01-10,P011,U04,GMS,93,211.62,165.83
2024-01-11,P005,U06,GMS,166,864.47,582.93
2024-01-11,P003,U03,GMS,149,1134.73,829.04
2024-01-11,P004,U07,GMS,102,620.52,498.32
2024-01-11,P006,U05,RHF,191,1097.49,823.73
2024-01-11,P002,U02,GMS,178,659.08,558.01
2024-01-11,P002,U02,RHF,141,569.95,443.96
2024-01-11,P010,U01,Export,145,449.79,316.04
2024-01-11,P012,U01,Export,152,724.09,511.36
2024-01-11,P010,U04,RHF,163,516.69,342.48
2024-01-11,P006,U08,GMS,91,479.69,387.57
2024-01-11,P006,U04,GMS,198,1068.92,832.05
2024-01-11,P011,U02,GMS,111,253.24,183.77
2024-01-11,P006,U03,RHF,92,522.27,381.9
2024-01-11,P010,U06,GMS,85,254.97,180.07
2024-01-11,P006,U01,Export,29,170.43,119.45
2024-01-11,P001,U07,GMS,178,1202.48,979.97
2024-01-11,P003,U05,Industrie,160,1237.97,901.64
2024-01-11,P007,U07,GMS,1,12.19,9.09
2024-01-11,P009,U06,GMS,199,874.02,623.51
2024-01-11,P006,U06,GMS,158,835.08,649.91
2024-01-11,P009,U04,GMS,162,739.02,503.26
2024-01-11,P003,U08,RHF,184,1373.3,1076.97
2024-01-11,P004,U08,GMS,99,625.38,474.3
2024-01-11,P001,U01,Export,232,1560.73,1302.17
2024-01-11,P004,U08,Export,154,977.09,759.82
2024-01-11,P008,U06,GMS,160,581.25,390.5
2024-01-11,P001,U03,GMS,194,1298.3,1031.13
2024-01-11,P009,U03,Export,210,959.54,650.44
2024-01-11,P009,U04,GMS,153,703.07,447.18
2024-01-11,P009,U08,Industrie,180,753.67,527.29
2024-01-11,P007,U05,Export,44,549.7,414.34
2024-01-11,P006,U05,GMS,108,627.72,451.64
2024-01-11,P002,U07,Export,139,557.75,449.22
2024-01-11,P004,U07,RHF,156,997.28,772.7
2024-01-11,P004,U01,Industrie,124,754.02,590.87
2024-01-11,P004,U03,GMS,122,786.59,604.27
2024-01-11,P005,U07,GMS,135,720.52,510.8
2024-01-11,P009,U01,GMS,108,459.14,336.36
2024-01-11,P002,U08,RHF,68,281.0,217.7
2024-01-11,P009,U06,RHF,172,773.91,535.63
2024-01-11,P003,U02,GMS,62,452.3,351.83
2024-01-11,P005,U07,GMS,132,662.93,485.97
2024-01-11,P012,U06,RHF,154,724.78,537.33
2024-01-11,P011,U04,RHF,63,155.35,108.97
2024-01-11,P012,U06,RHF,98,465.98,329.85
2024-01-11,P012,U06,Export,204,970.04,693.93
2024-01-11,P012,U08,Export,53,252.95,180.77
2024-01-12,P007,U03,GMS,240,2660.11,2242.14
2024-01-12,P004,U07,GMS,189,1108.24,892.3
2024-01-12,P012,U02,GMS,62,268.84,212.11
2024-01-12,P010,U03,Industrie,144,431.93,308.36
2024-01-12,P012,U05,Export,263,1286.52,922.34
2024-01-12,P001,U07,Export,115,791.38,642.8
2024-01-12,P008,U06,GMS,145,520.41,350.71
2024-01-12,P004,U01,GMS,81,473.64,374.28
2024-01-12,P001,U08,GMS,104,703.55,562.61
2024-01-12,P008,U06,RHF,119,448.79,300.51
2024-01-12,P006,U06,Export,142,811.82,598.23
2024-01-12,P007,U08,GMS,226,2626.48,2163.06
2024-01-12,P010,U07,GMS,135,405.71,286.14
2024-01-12,P009,U03,GMS,140,569.04,413.94
2024-01-12,P010,U01,GMS,192,577.59,414.46
2024-01-12,P008,U07,GMS,198,750.14,472.17
2024-01-12,P012,U05,GMS,198,891.23,698.25
2024-01-12,P009,U01,RHF,126,578.4,370.06
2024-01-12,P003,U08,Industrie,146,1062.6,848.33
2024-01-12,P008,U08,GMS,60,208.94,150.81
2024-01-12,P004,U01,Industrie,130,760.21,596.89
2024-01-12,P012,U04,GMS,123,578.52,411.9
2024-01-12,P002,U02,GMS,152,569.98,484.74
2024-01-12,P007,U01,GMS,100,1236.69,926.09
2024-01-12,P012,U08,GMS,125,578.93,441.07
2024-01-12,P007,U02,GMS,236,2867.68,2236.22
2024-01-12,P003,U06,Export,120,912.94,698.58
